"Table 320.20. Certificates below the associate's degree level conferred by postsecondary institutions, by race/ethnicity and
              sex of student: 1998-99 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of certificates conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of certificates conferred to U.S citizens and permanent residents ,,,,,,
2012-13 .........…,"967,214","524,000","177,006","186,248","44,196","10,824","17,642","7,298",100.0,54.6,18.4,19.4,4.6,1.1,1.8
,,,,,,,,,,,,,,,
2013-14 .........…,"969,278","523,015","177,860","185,677","43,800","10,817","19,971","8,138",100.0,54.4,18.5,19.3,4.6,1.1,2.1
2014-15 .........…,"961,146","512,077","174,828","187,943","44,707","11,084","21,681","8,826",100.0,53.8,18.4,19.7,4.7,1.2,2.3
2015-16 .........…,"939,291","496,717","162,367","192,977","43,923","10,558","23,222","9,527",100.0,53.4,17.5,20.8,4.7,1.1,2.5
2016-17 .........…,"944,940","492,699","158,960","202,602","44,832","10,895","24,681","10,271",100.0,52.7,17.0,21.7,4.8,1.2,2.6
,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,
1998-99 ............,"219,872","144,735","29,875","27,719","11,742","3,061",---,"2,740",100.0,66.7,13.8,12.8,5.4,1.4,---
1999-2000 ............,"226,110","143,634","33,792","30,337","13,082","2,862",---,"2,403",100.0,64.2,15.1,13.6,5.8,1.3,---
2000-01 ............,"223,951","143,144","34,381","28,685","12,072","2,719",---,"2,950",100.0,64.8,15.6,13.0,5.5,1.2,---
2001-02 ............,"235,275","152,226","36,482","29,749","10,938","3,226",---,"2,654",100.0,65.4,15.7,12.8,4.7,1.4,---
2002-03 ............,"254,238","161,001","40,080","33,925","12,930","3,506",---,"2,796",100.0,64.0,15.9,13.5,5.1,1.4,---
,,,,,,,,,,,,,,,
2003-04 ............,"257,138","161,684","40,809","36,157","12,713","3,135",---,"2,640",100.0,63.5,16.0,14.2,5.0,1.2,---
2004-05 ............,"259,261","161,126","41,644","38,297","12,448","3,068",---,"2,678",100.0,62.8,16.2,14.9,4.9,1.2,---
2005-06 ............,"259,413","158,719","41,847","40,682","12,575","3,214",---,"2,376",100.0,61.7,16.3,15.8,4.9,1.3,---
2006-07 ............,"269,470","164,856","44,862","40,932","12,621","3,524",---,"2,675",100.0,61.8,16.8,15.3,4.7,1.3,---
2007-08 ............,"283,102","172,438","48,013","43,076","13,460","3,431",---,"2,684",100.0,61.5,17.1,15.4,4.8,1.2,---
,,,,,,,,,,,,,,,
2008-09 .........…,"302,449","179,813","53,879","47,860","14,427","3,856",---,"2,614",100.0,60.0,18.0,16.0,4.8,1.3,---
2009-10 .........…,"355,381","205,404","65,487","60,771","15,940","5,067",---,"2,712",100.0,58.2,18.6,17.2,4.5,1.4,---
2010-11 .........…,"391,676","223,755","71,867","66,514","16,944","4,760","4,884","2,952",100.0,57.6,18.5,17.1,4.4,1.2,1.3
2011-12 ............,"374,086","213,833","65,224","65,838","16,180","4,507","4,952","3,552",100.0,57.7,17.6,17.8,4.4,1.2,1.3
2012-13 .........…,"375,928","215,432","61,668","67,377","17,352","4,446","6,511","3,142",100.0,57.8,16.5,18.1,4.7,1.2,1.7
,,,,,,,,,,,,,,,
2013-14 .........…,"390,795","223,180","65,595","68,821","17,280","4,731","7,781","3,407",100.0,57.6,16.9,17.8,4.5,1.2,2.0
2014-15 .........…,"394,707","222,413","64,574","72,020","18,132","4,848","8,836","3,884",100.0,56.9,16.5,18.4,4.6,1.2,2.3
2015-16 .........…,"396,834","223,269","60,835","76,483","17,667","4,613","9,622","4,345",100.0,56.9,15.5,19.5,4.5,1.2,2.5
2016-17 .........…,"404,713","224,918","60,022","81,710","18,009","4,965","10,286","4,803",100.0,56.2,15.0,20.4,4.5,1.2,2.6
,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,
1998-99 ............,"336,011","200,624","62,925","49,114","16,178","4,449",---,"2,721",100.0,60.2,18.9,14.7,4.9,1.3,---
1999-2000 ............,"332,019","193,912","63,537","50,795","16,279","4,104",---,"3,392",100.0,59.0,19.3,15.5,5.0,1.2,---
2000-01 ............,"328,552","190,334","65,016","49,843","16,051","3,879",---,"3,429",100.0,58.5,20.0,15.3,4.9,1.2,---
2001-02 ............,"348,973","200,333","70,165","54,201","16,552","4,204",---,"3,518",100.0,58.0,20.3,15.7,4.8,1.2,---
2002-03 ............,"392,187","221,288","80,502","61,574","20,051","4,611",---,"4,161",100.0,57.0,20.7,15.9,5.2,1.2,---
,,,,,,,,,,,,,,,
2003-04 ............,"430,649","241,305","89,082","71,059","20,106","5,240",---,"3,857",100.0,56.5,20.9,16.6,4.7,1.2,---
2004-05 ............,"451,612","254,544","91,957","75,792","20,335","5,082",---,"3,902",100.0,56.9,20.5,16.9,4.5,1.1,---
2005-06 ............,"455,377","253,200","93,540","78,046","21,273","5,179",---,"4,139",100.0,56.1,20.7,17.3,4.7,1.1,---
2006-07 .........…,"458,845","255,343","94,934","78,443","20,342","5,257",---,"4,526",100.0,56.2,20.9,17.3,4.5,1.2,---
2007-08 .........…,"465,252","257,232","96,969","79,330","22,331","5,117",---,"4,273",100.0,55.8,21.0,17.2,4.8,1.1,---
,,,,,,,,,,,,,,,
2008-09 .........…,"502,171","270,749","107,608","90,441","23,514","5,629",---,"4,230",100.0,54.4,21.6,18.2,4.7,1.1,---
2009-10 .........…,"580,338","305,782","126,170","111,244","25,467","6,936",---,"4,739",100.0,53.1,21.9,19.3,4.4,1.2,---
2010-11 .........…,"638,801","333,840","135,826","120,919","27,350","6,444","10,115","4,307",100.0,52.6,21.4,19.1,4.3,1.0,1.6
2011-12 ............,"614,975","321,788","125,029","121,176","26,868","6,131","9,188","4,795",100.0,52.7,20.5,19.9,4.4,1.0,1.5
2012-13 .........…,"591,286","308,568","115,338","118,871","26,844","6,378","11,131","4,156",100.0,52.6,19.6,20.2,4.6,1.1,1.9
,,,,,,,,,,,,,,,
2013-14 .........…,"578,483","299,835","112,265","116,856","26,520","6,086","12,190","4,731",100.0,52.3,19.6,20.4,4.6,1.1,2.1
2014-15 .........…,"566,439","289,664","110,254","115,923","26,575","6,236","12,845","4,942",100.0,51.6,19.6,20.6,4.7,1.1,2.3
2015-16 .........…,"542,457","273,448","101,532","116,494","26,256","5,945","13,600","5,182",100.0,50.9,18.9,21.7,4.9,1.1,2.5
2016-17 .........…,"540,227","267,781","98,938","120,892","26,823","5,930","14,395","5,468",100.0,50.1,18.5,22.6,5.0,1.1,2.7
---Not available.,,,,,,,,,,,,,,,
"NOTE: Includes less-than-1-year awards and 1- to less-than-4-year awards (excluding associate's degrees) conferred by postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. Reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.        ",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
