"Table 323.20. Master's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected 
              years, 1976-77 through 2016-17     ",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
2011-12 ............,"755,967","470,822","86,007","50,994","45,379","3,681","9,823","89,261",100.0,70.6,12.9,7.6,6.8,0.6,1.5
,,,,,,,,,,,,,,,
2012-13 ............,"751,718","455,896","87,989","52,991","44,906","3,693","11,794","94,449",100.0,69.4,13.4,8.1,6.8,0.6,1.8
2013-14 ............,"754,582","444,771","88,606","55,962","44,533","3,512","13,417","103,781",100.0,68.3,13.6,8.6,6.8,0.5,2.1
2014-15 ............,"758,804","433,096","87,288","58,752","44,489","3,410","14,628","117,141",100.0,67.5,13.6,9.2,6.9,0.5,2.3
2015-16 ............,"785,757","431,885","88,786","63,060","45,921","3,538","16,589","135,978",100.0,66.5,13.7,9.7,7.1,0.5,2.6
2016-17 ............,"804,684","433,625","89,577","67,166","47,841","3,396","17,668","145,411",100.0,65.8,13.6,10.2,7.3,0.5,2.7
,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,
1976-77\1\ ..............,"172,703","144,042","7,970","3,328","3,128",565,---,"13,670",100.0,90.6,5.0,2.1,2.0,0.4,---
1980-81\2\ ..............,"151,602","120,927","6,418","3,155","3,830",507,---,"16,765",100.0,89.7,4.8,2.3,2.8,0.4,---
1990-91 ............,"160,842","117,993","6,201","4,017","6,765",495,---,"25,371",100.0,87.1,4.6,3.0,5.0,0.4,---
1999-2000 ............,"196,129","131,221","11,642","7,738","11,299",845,---,"33,384",100.0,80.6,7.2,4.8,6.9,0.5,---
2000-01 ............,"197,770","128,516","11,878","8,371","11,561",925,---,"36,519",100.0,79.7,7.4,5.2,7.2,0.6,---
,,,,,,,,,,,,,,,
2002-03 ............,"215,172","135,938","13,224","9,389","12,704","1,043",---,"42,874",100.0,78.9,7.7,5.4,7.4,0.6,---
2003-04 ............,"233,056","146,369","15,027","10,929","14,551","1,137",---,"45,043",100.0,77.9,8.0,5.8,7.7,0.6,---
2004-05 ............,"237,155","150,076","16,136","11,501","15,238","1,167",---,"43,037",100.0,77.3,8.3,5.9,7.8,0.6,---
2005-06 ............,"241,701","153,696","17,388","11,738","16,037","1,253",---,"41,589",100.0,76.8,8.7,5.9,8.0,0.6,---
2006-07 ............,"242,213","154,250","18,340","12,471","16,689","1,275",---,"39,188",100.0,76.0,9.0,6.1,8.2,0.6,---
,,,,,,,,,,,,,,,
2007-08 ............,"250,203","157,622","18,759","13,166","17,480","1,294",---,"41,882",100.0,75.7,9.0,6.3,8.4,0.6,---
2008-09 ............,"263,515","162,863","20,146","14,314","18,865","1,349",---,"45,978",100.0,74.9,9.3,6.6,8.7,0.6,---
2009-10 ............,"275,317","170,243","22,121","15,554","19,423","1,419",---,"46,557",100.0,74.4,9.7,6.8,8.5,0.6,---
2010-11 ............,"291,680","177,786","23,746","17,183","19,918","1,409","2,540","49,098",100.0,73.3,9.8,7.1,8.2,0.6,1.0
2011-12 ............,"302,484","183,222","25,284","18,633","20,751","1,298","3,518","49,778",100.0,72.5,10.0,7.4,8.2,0.5,1.4
,,,,,,,,,,,,,,,
2012-13 ............,"301,552","177,208","26,417","19,441","20,456","1,280","4,472","52,278",100.0,71.1,10.6,7.8,8.2,0.5,1.8
2013-14 ............,"302,846","173,303","26,608","20,565","19,955","1,219","4,890","56,306",100.0,70.3,10.8,8.3,8.1,0.5,2.0
2014-15 ............,"306,615","168,151","26,295","21,384","19,577","1,223","5,438","64,547",100.0,69.5,10.9,8.8,8.1,0.5,2.2
2015-16 ............,"320,574","166,161","27,024","22,749","20,071","1,229","6,129","77,211",100.0,68.3,11.1,9.3,8.2,0.5,2.5
2016-17 ............,"326,892","164,719","26,976","23,797","20,705","1,150","6,450","83,095",100.0,67.6,11.1,9.8,8.5,0.5,2.6
,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,
1976-77\1\ ..............,"149,760","127,360","13,282","2,808","1,999",453,---,"3,858",100.0,87.3,9.1,1.9,1.4,0.3,---
1980-81\2\ ..............,"149,479","126,548","11,018","3,379","2,518",537,---,"5,479",100.0,87.9,7.7,2.3,1.7,0.4,---
1990-91 ............,"182,021","147,934","10,822","4,964","5,104",694,---,"12,503",100.0,87.3,6.4,2.9,3.0,0.4,---
1999-2000 ............,"267,056","193,769","24,964","11,641","12,224","1,418",---,"23,040",100.0,79.4,10.2,4.8,5.0,0.6,---
2000-01 ............,"275,732","195,695","26,975","13,290","12,983","1,571",---,"25,218",100.0,78.1,10.8,5.3,5.2,0.6,---
,,,,,,,,,,,,,,,
2002-03 ............,"303,527","210,065","31,926","15,811","14,788","1,843",---,"29,094",100.0,76.5,11.6,5.8,5.4,0.7,---
2003-04 ............,"331,216","227,079","36,375","18,877","16,651","2,069",---,"30,165",100.0,75.4,12.1,6.3,5.5,0.7,---
2004-05 ............,"342,996","233,170","39,194","20,138","17,804","2,143",---,"30,547",100.0,74.6,12.5,6.4,5.7,0.7,---
2005-06 ............,"358,161","243,823","42,434","20,840","18,265","2,266",---,"30,533",100.0,74.4,13.0,6.4,5.6,0.7,---
2006-07 ............,"368,490","249,373","45,099","22,491","19,731","2,315",---,"29,481",100.0,73.6,13.3,6.6,5.8,0.7,---
,,,,,,,,,,,,,,,
2007-08 ............,"380,641","255,726","47,153","23,733","20,263","2,481",---,"31,285",100.0,73.2,13.5,6.8,5.8,0.7,---
2008-09 ............,"398,567","264,850","50,626","25,253","21,645","2,428",---,"33,765",100.0,72.6,13.9,6.9,5.9,0.7,---
2009-10 ............,"417,996","274,915","54,351","28,049","23,097","2,546",---,"35,038",100.0,71.8,14.2,7.3,6.0,0.7,---
2010-11 ............,"439,242","285,136","56,996","29,640","23,564","2,537","4,057","37,312",100.0,70.9,14.2,7.4,5.9,0.6,1.0
2011-12 ............,"453,483","287,600","60,723","32,361","24,628","2,383","6,305","39,483",100.0,69.5,14.7,7.8,5.9,0.6,1.5
,,,,,,,,,,,,,,,
2012-13 ............,"450,166","278,688","61,572","33,550","24,450","2,413","7,322","42,171",100.0,68.3,15.1,8.2,6.0,0.6,1.8
2013-14 ............,"451,736","271,468","61,998","35,397","24,578","2,293","8,527","47,475",100.0,67.2,15.3,8.8,6.1,0.6,2.1
2014-15 ............,"452,189","264,945","60,993","37,368","24,912","2,187","9,190","52,594",100.0,66.3,15.3,9.4,6.2,0.5,2.3
2015-16 ............,"465,183","265,724","61,762","40,311","25,850","2,309","10,460","58,767",100.0,65.4,15.2,9.9,6.4,0.6,2.6
2016-17 ............,"477,792","268,906","62,601","43,369","27,136","2,246","11,218","62,316",100.0,64.7,15.1,10.4,6.5,0.5,2.7
---Not available.,,,,,,,,,,,,,,,
\1\Excludes 387 males and 175 females whose racial/ethnic group was not available.  ,,,,,,,,,,,,,,,
"\2\Excludes 1,377 males and 179 females whose racial/ethnic group was not available.  ",,,,,,,,,,,,,,,
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. For 1989-90 and later years, reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.        ",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1976-77 and 1980-81; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:90-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,
