"Table 324.20. Doctor's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected years,
              1976-77 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred\1\ to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred\1\ to U.S. citizens and permanent residents,,,,,,
2011-12 ........,"170,217","109,365","11,794","9,223","17,896",915,"1,571","19,453",100.0,72.5,7.8,6.1,11.9,0.6,1.0
,,,,,,,,,,,,,,,
2012-13 ........,"175,026","110,759","12,085","10,108","18,406",900,"2,440","20,328",100.0,71.6,7.8,6.5,11.9,0.6,1.6
2013-14 ........,"177,587","110,157","12,621","10,665","19,118",861,"2,966","21,199",100.0,70.4,8.1,6.8,12.2,0.6,1.9
2014-15 ........,"178,548","108,914","13,272","11,263","19,186",884,"3,670","21,359",100.0,69.3,8.4,7.2,12.2,0.6,2.3
2015-16 ........,"178,134","107,235","13,377","11,781","19,614",811,"3,782","21,534",100.0,68.5,8.5,7.5,12.5,0.5,2.4
2016-17 ........,"181,352","107,445","14,067","12,493","20,344",746,"4,166","22,091",100.0,67.5,8.8,7.8,12.8,0.5,2.6
,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,
1976-77\2\ ............,"71,709","62,977","2,338","1,216","1,311",182,---,"3,685",100.0,92.6,3.4,1.8,1.9,0.3,---
1980-81\3\ ..............,"68,853","59,574","2,206","1,338","1,589",223,---,"3,923",100.0,91.8,3.4,2.1,2.4,0.3,---
1990-91 ..............,"64,242","48,812","1,991","1,835","3,038",196,---,"8,370",100.0,87.4,3.6,3.3,5.4,0.4,---
1999-2000 ..............,"64,930","45,308","2,762","2,602","5,467",333,---,"8,458",100.0,80.2,4.9,4.6,9.7,0.6,---
2000-01 ........,"64,171","44,131","2,655","2,564","5,759",346,---,"8,716",100.0,79.6,4.8,4.6,10.4,0.6,---
,,,,,,,,,,,,,,,
2002-03 ........,"62,730","42,569","2,735","2,671","5,683",358,---,"8,714",100.0,78.8,5.1,4.9,10.5,0.7,---
2003-04 ........,"63,981","43,014","2,888","2,731","5,620",357,---,"9,371",100.0,78.8,5.3,5.0,10.3,0.7,---
2004-05 ........,"67,257","44,749","2,904","2,863","5,913",370,---,"10,458",100.0,78.8,5.1,5.0,10.4,0.7,---
2005-06 ........,"68,912","45,476","2,949","2,850","5,977",429,---,"11,231",100.0,78.8,5.1,4.9,10.4,0.7,---
2006-07 ........,"71,311","46,215","3,223","3,037","6,449",421,---,"11,966",100.0,77.9,5.4,5.1,10.9,0.7,---
,,,,,,,,,,,,,,,
2007-08 ........,"73,340","48,118","3,291","3,139","6,516",447,---,"11,829",100.0,78.2,5.4,5.1,10.6,0.7,---
2008-09 ........,"75,674","49,880","3,531","3,388","6,914",460,---,"11,501",100.0,77.7,5.5,5.3,10.8,0.7,---
2009-10 ........,"76,610","50,707","3,609","3,642","7,184",430,---,"11,038",100.0,77.3,5.5,5.6,11.0,0.7,---
2010-11 ........,"79,672","51,688","3,838","3,990","7,545",454,557,"11,600",100.0,75.9,5.6,5.9,11.1,0.7,0.8
2011-12 ........,"82,670","53,488","4,121","4,218","7,792",418,701,"11,932",100.0,75.6,5.8,6.0,11.0,0.6,1.0
,,,,,,,,,,,,,,,
2012-13 ........,"85,080","54,196","4,310","4,473","8,190",400,"1,085","12,426",100.0,74.6,5.9,6.2,11.3,0.6,1.5
2013-14 ........,"85,585","53,374","4,510","4,788","8,270",365,"1,297","12,981",100.0,73.5,6.2,6.6,11.4,0.5,1.8
2014-15 ........,"84,922","52,069","4,464","5,011","8,330",410,"1,678","12,960",100.0,72.4,6.2,7.0,11.6,0.6,2.3
2015-16 ........,"84,240","50,694","4,564","5,122","8,632",371,"1,718","13,139",100.0,71.3,6.4,7.2,12.1,0.5,2.4
2016-17 ........,"84,646","50,003","4,791","5,421","8,906",307,"1,780","13,438",100.0,70.2,6.7,7.6,12.5,0.4,2.5
,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,
1976-77\2\ ............,"19,509","16,955","1,237",317,363,58,---,579,100.0,89.6,6.5,1.7,1.9,0.3,---
1980-81\3\ ..............,"28,428","24,626","1,687",586,678,89,---,762,100.0,89.0,6.1,2.1,2.5,0.3,---
1990-91 ..............,"41,305","32,979","2,438","1,375","2,082",160,---,"2,271",100.0,84.5,6.2,3.5,5.3,0.4,---
1999-2000 ..............,"53,806","37,676","4,316","2,440","5,215",375,---,"3,784",100.0,75.3,8.6,4.9,10.4,0.7,---
2000-01 ........,"55,414","38,190","4,380","2,640","5,828",359,---,"4,017",100.0,74.3,8.5,5.1,11.3,0.7,---
,,,,,,,,,,,,,,,
2002-03 ........,"58,849","39,980","4,802","2,832","6,325",401,---,"4,509",100.0,73.6,8.8,5.2,11.6,0.7,---
2003-04 ........,"62,106","41,681","5,201","3,064","6,751",414,---,"4,995",100.0,73.0,9.1,5.4,11.8,0.7,---
2004-05 ........,"67,130","45,014","5,623","3,252","7,263",418,---,"5,560",100.0,73.1,9.1,5.3,11.8,0.7,---
2005-06 ........,"69,144","45,574","5,574","3,352","7,709",500,---,"6,435",100.0,72.7,8.9,5.3,12.3,0.8,---
2006-07 ........,"73,383","48,010","6,148","3,539","8,278",496,---,"6,912",100.0,72.2,9.2,5.3,12.5,0.7,---
,,,,,,,,,,,,,,,
2007-08 ........,"75,850","49,583","6,160","3,794","8,654",485,---,"7,174",100.0,72.2,9.0,5.5,12.6,0.7,---
2008-09 ........,"78,890","51,520","6,657","4,109","8,926",518,---,"7,160",100.0,71.8,9.3,5.7,12.4,0.7,---
2009-10 ........,"81,980","53,712","6,804","4,443","9,376",522,---,"7,123",100.0,71.8,9.1,5.9,12.5,0.7,---
2010-11 ........,"84,155","54,302","7,096","4,672","9,533",493,694,"7,365",100.0,70.7,9.2,6.1,12.4,0.6,0.9
2011-12 ........,"87,547","55,877","7,673","5,005","10,104",497,870,"7,521",100.0,69.8,9.6,6.3,12.6,0.6,1.1
,,,,,,,,,,,,,,,
2012-13 ........,"89,946","56,563","7,775","5,635","10,216",500,"1,355","7,902",100.0,68.9,9.5,6.9,12.5,0.6,1.7
2013-14 ........,"92,002","56,783","8,111","5,877","10,848",496,"1,669","8,218",100.0,67.8,9.7,7.0,12.9,0.6,2.0
2014-15 ........,"93,626","56,845","8,808","6,252","10,856",474,"1,992","8,399",100.0,66.7,10.3,7.3,12.7,0.6,2.3
2015-16 ........,"93,894","56,541","8,813","6,659","10,982",440,"2,064","8,395",100.0,66.1,10.3,7.8,12.8,0.5,2.4
2016-17 ........,"96,706","57,442","9,276","7,072","11,438",439,"2,386","8,653",100.0,65.2,10.5,8.0,13.0,0.5,2.7
---Not available.,,,,,,,,,,,,,,,
"\1\Includes Ph.D., Ed.D., and comparable degrees at the doctoral level, as well as such degrees as M.D., D.D.S., and law degrees that were classified as first-professional degrees prior to 2010-11. ",,,,,,,,,,,,,,,
\2\Excludes 500 males and 12 females whose racial/ethnic group was not available.  ,,,,,,,,,,,,,,,
\3\Excludes 714 males and 21 females whose racial/ethnic group was not available.  ,,,,,,,,,,,,,,,
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for postsecondary institutions participating in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. For 1989-90 and later years, reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures. ",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1976-77 and 1980-81; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:90-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,
