"Table 321.20. Associate's degrees conferred by postsecondary institutions, by race/ethnicity and sex of student: Selected  
              years, 1976-77 through 2016-17",,,,,,,,,,,,,,,
Year and sex,"Number of degrees conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,Percentage distribution of degrees conferred to U.S. citizens and permanent residents,,,,,,
2011-12 ............,"1,021,718","635,755","142,512","151,807","48,861","10,738","14,858","17,187",100.0,63.3,14.2,15.1,4.9,1.1,1.5
,,,,,,,,,,,,,,,
2012-13 ............,"1,007,427","617,308","135,892","157,989","49,474","10,546","19,383","16,835",100.0,62.3,13.7,15.9,5.0,1.1,2.0
2013-14 ............,"1,005,155","601,959","134,621","168,106","50,368","10,338","22,695","17,068",100.0,60.9,13.6,17.0,5.1,1.0,2.3
2014-15 ............,"1,014,341","590,616","137,920","180,598","51,767","9,996","25,505","17,939",100.0,59.3,13.8,18.1,5.2,1.0,2.6
2015-16 ............,"1,008,228","566,622","134,012","196,044","53,753","9,490","28,933","19,374",100.0,57.3,13.6,19.8,5.4,1.0,2.9
2016-17 ............,"1,005,649","551,033","129,874","209,138","55,801","9,268","29,630","20,905",100.0,56.0,13.2,21.2,5.7,0.9,3.0
,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,
1976-77\1\ ............,"209,672","178,236","15,330","9,105","3,630","1,216",---,"2,155",100.0,85.9,7.4,4.4,1.7,0.6,---
1980-81\2\ ............,"183,819","151,242","14,290","8,327","4,557","1,108",---,"4,295",100.0,84.2,8.0,4.6,2.5,0.6,---
1990-91 ............,"198,634","161,858","14,143","10,738","7,164","1,439",---,"3,292",100.0,82.9,7.2,5.5,3.7,0.7,---
1999-2000 ............,"224,721","164,317","20,968","20,947","12,009","2,222",---,"4,258",100.0,74.5,9.5,9.5,5.4,1.0,---
2000-01 ............,"231,645","166,322","22,147","23,350","12,339","2,294",---,"5,193",100.0,73.4,9.8,10.3,5.4,1.0,---
,,,,,,,,,,,,,,,
2002-03 ............,"253,451","179,163","25,591","26,461","14,057","2,618",---,"5,561",100.0,72.3,10.3,10.7,5.7,1.1,---
2003-04 ............,"260,033","183,819","25,961","27,828","13,907","2,740",---,"5,778",100.0,72.3,10.2,10.9,5.5,1.1,---
2004-05 ............,"267,536","188,569","27,151","29,658","13,802","2,774",---,"5,582",100.0,72.0,10.4,11.3,5.3,1.1,---
2005-06 ............,"270,139","190,174","27,618","30,043","14,227","2,777",---,"5,300",100.0,71.8,10.4,11.3,5.4,1.0,---
2006-07 ............,"275,034","191,487","28,251","31,609","15,502","2,872",---,"5,313",100.0,71.0,10.5,11.7,5.7,1.1,---
,,,,,,,,,,,,,,,
2007-08 ............,"282,695","194,354","29,984","33,852","15,941","2,989",---,"5,575",100.0,70.1,10.8,12.2,5.8,1.1,---
2008-09 ............,"298,066","202,670","32,004","36,919","17,305","3,075",---,"6,093",100.0,69.4,11.0,12.6,5.9,1.1,---
2009-10 ............,"322,747","215,977","36,148","42,210","18,268","3,555",---,"6,589",100.0,68.3,11.4,13.4,5.8,1.1,---
2010-11 ............,"361,408","238,012","41,649","47,911","19,085","3,727","4,197","6,827",100.0,67.1,11.7,13.5,5.4,1.1,1.2
2011-12 ............,"393,479","251,964","46,377","57,926","20,537","3,924","5,569","7,182",100.0,65.2,12.0,15.0,5.3,1.0,1.4
,,,,,,,,,,,,,,,
2012-13 ............,"389,195","243,868","45,458","60,536","21,223","3,638","7,434","7,038",100.0,63.8,11.9,15.8,5.6,1.0,1.9
2013-14 ............,"391,474","239,289","45,868","64,658","21,824","3,682","8,969","7,184",100.0,62.3,11.9,16.8,5.7,1.0,2.3
2014-15 ............,"396,782","236,381","47,393","69,291","22,377","3,590","9,997","7,753",100.0,60.8,12.2,17.8,5.8,0.9,2.6
2015-16 ............,"392,084","226,142","44,777","74,531","23,426","3,335","11,251","8,622",100.0,59.0,11.7,19.4,6.1,0.9,2.9
2016-17 ............,"394,159","223,661","43,173","78,464","24,453","3,372","11,676","9,360",100.0,58.1,11.2,20.4,6.4,0.9,3.0
,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,
1976-77\1\ ............,"195,284","164,054","17,829","7,531","3,414","1,282",---,"1,174",100.0,84.5,9.2,3.9,1.8,0.7,---
1980-81\2\ ............,"226,355","187,925","21,040","9,473","4,093","1,476",---,"2,348",100.0,83.9,9.4,4.2,1.8,0.7,---
1990-91 ............,"283,086","229,406","24,692","14,802","8,093","2,432",---,"3,661",100.0,82.1,8.8,5.3,2.9,0.9,---
1999-2000 ............,"340,212","244,505","39,240","30,616","15,769","4,252",---,"5,830",100.0,73.1,11.7,9.2,4.7,1.3,---
2000-01 ............,"347,220","244,753","41,708","33,938","16,124","4,329",---,"6,368",100.0,71.8,12.2,10.0,4.7,1.3,---
,,,,,,,,,,,,,,,
2002-03 ............,"380,565","259,098","50,018","40,212","18,572","4,843",---,"7,822",100.0,69.5,13.4,10.8,5.0,1.3,---
2003-04 ............,"405,268","272,228","55,222","44,442","19,242","5,379",---,"8,755",100.0,68.7,13.9,11.2,4.9,1.4,---
2004-05 ............,"429,124","286,944","59,251","48,899","19,867","5,661",---,"8,502",100.0,68.2,14.1,11.6,4.7,1.3,---
2005-06 ............,"443,176","295,307","62,195","50,827","20,988","5,778",---,"8,081",100.0,67.9,14.3,11.7,4.8,1.3,---
2006-07 .........…,"452,582","299,846","63,189","53,666","21,741","5,707",---,"8,433",100.0,67.5,14.2,12.1,4.9,1.3,---
,,,,,,,,,,,,,,,
2007-08 .........…,"467,471","307,113","65,582","57,437","22,907","5,838",---,"8,594",100.0,66.9,14.3,12.5,5.0,1.3,---
2008-09 .........…,"489,177","319,164","69,627","61,489","24,059","5,748",---,"9,090",100.0,66.5,14.5,12.8,5.0,1.2,---
2009-10 ............,"526,109","336,399","77,719","70,193","25,758","6,546",---,"9,494",100.0,65.1,15.0,13.6,5.0,1.3,---
2010-11 ............,"582,098","366,733","87,395","78,386","26,404","6,453","6,929","9,798",100.0,64.1,15.3,13.7,4.6,1.1,1.2
2011-12 ............,"628,239","383,791","96,135","93,881","28,324","6,814","9,289","10,005",100.0,62.1,15.5,15.2,4.6,1.1,1.5
,,,,,,,,,,,,,,,
2012-13 ............,"618,232","373,440","90,434","97,453","28,251","6,908","11,949","9,797",100.0,61.4,14.9,16.0,4.6,1.1,2.0
2013-14 ............,"613,681","362,670","88,753","103,448","28,544","6,656","13,726","9,884",100.0,60.1,14.7,17.1,4.7,1.1,2.3
2014-15 ............,"617,559","354,235","90,527","111,307","29,390","6,406","15,508","10,186",100.0,58.3,14.9,18.3,4.8,1.1,2.6
2015-16 ............,"616,144","340,480","89,235","121,513","30,327","6,155","17,682","10,752",100.0,56.2,14.7,20.1,5.0,1.0,2.9
2016-17 ............,"611,490","327,372","86,701","130,674","31,348","5,896","17,954","11,545",100.0,54.6,14.5,21.8,5.2,1.0,3.0
---Not available.,,,,,,,,,,,,,,,
"\1\Excludes 1,170 males and 251 females whose racial/ethnic group was not available.  ",,,,,,,,,,,,,,,
"\2\Excludes 4,819 males and 1,384 females whose racial/ethnic group was not available.  ",,,,,,,,,,,,,,,
"NOTE: Data through 1990-91 are for institutions of higher education, while later data are for degree-granting postsecondary institutions, which are institutions that grant associate's or higher degrees and participate in Title IV federal financial aid programs. Race categories exclude persons of Hispanic ethnicity. For 1989-90 and later years, reported racial/ethnic distributions of students by level of degree, field of degree, and sex were used to estimate race/ethnicity for students whose race/ethnicity was not reported. Detail may not sum to totals because of rounding. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Degrees and Other Formal Awards Conferred"" surveys, 1976-77 and 1980-81; Integrated Postsecondary Education Data System (IPEDS), ""Completions Survey"" (IPEDS-C:90-99); and IPEDS Fall 2000 through Fall 2017, Completions component. (This table was prepared August 2018.)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
